model,method,config_id,step,tpr_1_fpr_mean,tpr_1_fpr_std,n_seeds
Mistral-7B-v0.3,gaussmark,gaussmark_sigma0.005,0,0.7633333333333333,0.030615900008546793,3
Mistral-7B-v0.3,gaussmark,gaussmark_sigma0.005,500,0.19799999999999998,0.008717797887081335,3
Mistral-7B-v0.3,gaussmark,gaussmark_sigma0.005,1000,0.14600000000000002,0.015620499351813316,3
Mistral-7B-v0.3,gaussmark,gaussmark_sigma0.005,1500,0.13466666666666666,0.02500666577801473,3
Mistral-7B-v0.3,gaussmark,gaussmark_sigma0.005,2000,0.13333333333333333,0.028448784391135826,3
Mistral-7B-v0.3,gaussmark,gaussmark_sigma0.005,2500,0.14733333333333334,0.010066445913694337,3
