Method,Model,Dataset,StrengthParam,Strength,Gamma,K,NSeeds,TPR@1%FPR,TPR@0.1%FPR,AUROC,PPL
OpenStamp,Llama-2-7b,fineweb2_ja,delta,1.0,0.25,254.0,3,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,19.61±2.95
OpenStamp,Llama-2-7b,starcoderdata,delta,1.0,0.25,254.0,3,0.9773±0.0042,0.9230±0.0469,0.9989±0.0002,6.89±0.71
OpenStamp,Mistral-7B-v0.3,openwebmath,delta,1.0,0.25,254.0,3,0.9956±0.0014,0.9817±0.0071,0.9998±0.0001,14.72±0.21
OpenStamp,Mistral-7B-v0.3,fineweb2_ja,delta,1.0,0.25,254.0,3,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,25.25±2.97
OpenStamp,Mistral-7B-v0.3,starcoderdata,delta,1.0,0.25,254.0,3,0.9640±0.0140,0.8417±0.0881,0.9981±0.0010,6.94±0.44
KGW Distilled,Llama-2-7b,openwebmath,delta,2.0,0.25,,1,0.8000,0.4790,,19.74
KGW Distilled,Llama-2-7b,fineweb2_ja,delta,2.0,0.25,,1,0.6420,0.0900,,25.45
KGW Distilled,Llama-2-7b,starcoderdata,delta,2.0,0.25,,1,0.3920,0.0620,,8.11
GaussMark,Llama-2-7b,openwebmath,sigma,0.04,,,3,0.7373±0.0817,0.4780±0.1420,0.9781±0.0019,17.26±1.10
GaussMark,Llama-2-7b,fineweb2_ja,sigma,0.04,,,3,0.9920±0.0053,0.9573±0.0313,0.9996±0.0001,25.86±1.44
GaussMark,Llama-2-7b,starcoderdata,sigma,0.04,,,3,0.6380±0.0452,0.2940±0.1129,0.9721±0.0048,7.77±0.23
GaussMark,Mistral-7B-v0.3,openwebmath,sigma,0.005,,,3,0.5287±0.0735,0.2820±0.0513,0.9599±0.0049,16.39±0.75
GaussMark,Mistral-7B-v0.3,fineweb2_ja,sigma,0.005,,,3,0.9727±0.0061,0.7853±0.1934,0.9987±0.0007,36.31±3.73
GaussMark,Mistral-7B-v0.3,starcoderdata,sigma,0.005,,,3,0.4713±0.0261,0.1860±0.0923,0.9358±0.0024,7.31±0.48
KGW,Llama-2-7b,openwebmath,delta,1.5,0.25,,3,0.9620±0.0131,0.7477±0.2692,0.9968±0.0013,16.33±0.95
KGW,Llama-2-7b,fineweb2_ja,delta,1.5,0.25,,3,0.9923±0.0071,0.6777±0.4700,0.9989±0.0011,18.62±0.67
